nome;clube;posicao;preco;variacao;ult_ponto;media;jogo;roubada_bola;gol;assistencia;jogo_sem_sofrer_gol;finalizacao_fora;finalizacao_fora;finalizacao_defendida;finalizacao_trave;defesa_dificil;defesa_penalti;gol_contra;cartao_vermelho;cartao_amarelo;penalti_perdido;gol_sofrido;falta_cometida;impedimento;passe_errado
Renato Gaúcho;Grêmio;Técnico;15.56;0;0;4.56;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
René;Vitória;Zagueiro;3.27;0;0;1.97;10;8;0;0;4;7;1;1;0;0;0;0;0;3;0;0;16;0;17
Renê Júnior;Bahia;Meia;13.35;2.29;14.2;6.49;18;52;4;0;0;40;17;8;0;0;0;0;1;3;0;0;33;3;48
Rhodolfo;Flamengo;Zagueiro;8.62;-0.45;4.9;4.42;8;9;0;0;5;3;3;1;0;0;0;0;0;1;0;0;9;2;7
Ribamar;Atlético-PR;Atacante;5.86;0.37;2.7;3.22;5;3;1;0;0;11;4;1;0;0;0;0;0;0;0;0;6;3;6
Ricardo Oliveira;Santos;Atacante;9.12;-0.46;-1.2;1.25;9;1;1;0;0;7;10;2;1;0;0;0;0;1;0;0;14;3;13
Rildo;Coritiba;Atacante;8.42;-0.08;0.2;4.12;19;17;4;2;0;65;6;5;0;0;0;0;0;3;0;0;23;5;48
Rithely;Sport;Meia;10.95;0;0;4.36;18;44;1;2;0;17;15;6;0;0;0;0;0;4;0;0;25;1;61
Rodinei;Flamengo;Lateral;10.12;0.23;6.4;4.58;12;12;1;3;6;10;2;2;0;0;0;0;1;2;0;0;19;1;26
Rodrigão;Bahia;Atacante;5.55;0.21;0.7;4.52;10;2;4;2;0;8;10;7;0;0;0;0;0;1;0;0;11;7;24
Rodrigo Becão;Bahia;Zagueiro;2.88;-0.54;0;1.8;6;5;0;0;1;4;1;1;0;0;0;0;0;1;0;0;4;0;8
Rodrigo Caio;São Paulo;Zagueiro;9.34;-0.66;2.1;2.83;17;28;0;0;3;10;6;1;1;0;0;0;0;6;0;0;11;1;34
Rodrigo Lindoso;Botafogo;Meia;10.09;0.29;2.4;3.81;16;32;2;1;0;13;3;3;0;0;0;0;0;2;0;0;16;0;47
Rodrigo Pimpão;Botafogo;Atacante;9.15;2.38;13.9;3.18;19;21;2;5;0;22;10;12;0;0;0;0;0;3;0;0;30;5;76
Rodriguinho;Corinthians;Meia;14.56;0.42;5;4.06;17;16;3;3;0;35;14;13;1;0;0;0;0;4;0;0;28;2;60
Roger;Botafogo;Atacante;9.91;0.93;7.5;4.26;17;8;7;2;0;20;13;9;0;0;0;0;0;2;1;0;20;15;34
Rogério Micale;Atlético-MG;Técnico;9.57;0.01;2.85;3.62;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ronaldo Alves;Sport;Zagueiro;8.98;0;0;4.57;16;18;1;1;8;28;2;4;0;0;0;0;0;4;0;0;19;1;40
Samuel Xavier;Sport;Lateral;4.74;0;0;3.42;17;24;0;0;7;24;1;4;0;0;0;0;0;3;0;0;16;1;66
Sassá;Cruzeiro;Atacante;8.01;-0.79;3.4;4.02;14;11;6;0;0;25;6;4;0;0;0;0;0;2;1;0;30;12;9
Sidão;São Paulo;Goleiro;3.96;-1.02;-5;-2.15;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;5;0;0;1
Sidcley;Atlético-PR;Lateral;13.26;-0.66;1.2;5.75;20;24;4;3;8;35;4;5;0;0;0;0;0;1;0;0;22;9;69
Tchê Tchê;Palmeiras;Meia;7.12;0.63;4.8;1.12;18;19;0;2;0;18;5;4;0;0;0;0;1;3;0;0;29;1;42
Thiago Neves;Cruzeiro;Meia;17.26;-0.86;1.5;5.73;19;19;6;2;0;32;11;27;2;0;0;0;0;2;0;0;20;5;75
Tréllez;Vitória;Atacante;3.06;-0.09;1.4;2.07;8;2;3;0;0;5;4;4;1;0;0;0;0;1;0;0;26;4;22
Túlio de Melo;Chapecoense;Atacante;3.94;-1.57;-0.1;1.87;14;2;3;0;0;7;8;3;0;0;0;0;0;1;0;0;17;0;10
Uillian Correia;Vitória;Meia;4.69;-0.91;-1.9;3.16;19;33;3;0;0;8;9;2;0;0;0;0;0;3;0;0;31;1;34
Vagner Mancini;Vitória;Técnico;9.34;0.16;5.36;3.59;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valdívia;Atlético-MG;Meia;8.13;-0.44;4.6;3.33;10;5;1;1;0;19;4;11;0;0;0;0;0;0;0;0;7;1;25
Vanderlei;Santos;Goleiro;22.07;-0.8;4;9.7;21;0;0;0;12;3;0;0;0;52;3;0;0;2;0;14;1;0;7
Vanderlei Luxemburgo;Sport;Técnico;8.64;0;0;4.81;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Victor;Atlético-MG;Goleiro;11.58;-0.91;3.7;4.47;20;0;0;0;4;2;0;0;0;35;3;0;0;3;0;24;2;0;9
Victor Ferraz;Santos;Lateral;9.53;-0.89;1;4.08;14;13;2;0;7;11;2;1;0;0;0;0;0;2;0;0;11;0;48
Victor Luis;Botafogo;Lateral;12.15;-0.64;3.6;4.48;17;29;1;0;7;16;3;0;0;0;0;0;0;3;0;0;17;0;39
Vinícius Eutrópio;Chapecoense;Técnico;7.71;-1.05;0.34;2.56;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wagner;Vasco;Meia;4.57;-1.66;-0.7;1.65;11;9;1;0;0;10;1;1;1;0;0;0;0;0;0;0;12;3;26
Walisson Maia;Coritiba;Zagueiro;5.03;-1.17;4.1;2.76;8;14;0;0;2;1;1;1;0;0;0;1;0;0;0;0;4;1;18
Wallace Reis;Vitória;Zagueiro;9.22;0.18;7.5;5.37;7;13;0;0;4;13;0;0;1;0;0;0;0;3;0;0;8;0;15
Walter;Atlético-GO;Atacante;6.31;-0.43;-3;0.69;16;6;1;0;0;38;12;13;1;0;0;0;0;5;0;0;31;7;73
Wanderson;Atlético-PR;Zagueiro;5.83;-0.93;-0.4;4.26;13;9;2;0;6;3;0;6;0;0;0;0;0;1;0;0;11;1;18
Wellington;Vasco;Meia;0.79;0;1;-1.29;12;8;0;0;0;7;0;1;0;0;0;0;0;5;0;0;27;1;32
Wellington Paulista;Chapecoense;Atacante;9.64;-0.23;2.4;2.33;17;3;3;1;0;18;13;10;2;0;0;0;0;4;0;0;20;4;32
Wellington Silva;Fluminense;Atacante;8.84;0.16;1;2.96;10;6;2;1;0;18;2;1;0;0;0;0;0;0;0;0;4;4;30
Wellington Simião;Avaí;Meia;2.45;0.26;0.7;0.96;18;8;1;0;0;21;7;3;1;0;0;0;0;3;0;0;17;3;33
Wendel;Fluminense;Meia;12.52;0.2;-0.1;5.28;18;26;3;2;0;46;6;6;2;0;0;0;0;1;0;0;17;1;41
Wesley;Sport;Meia;3.86;0;0;1.5;3;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2
Weverton;Atlético-PR;Goleiro;5.6;0.15;7.1;3.78;19;1;0;0;7;5;0;0;0;28;0;0;0;1;0;22;0;0;18
William Alves;Atlético-GO;Zagueiro;3.06;1.16;4.4;2.6;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;0;4
William Matheus;Coritiba;Lateral;7.06;-0.61;-0.4;2.45;19;23;0;0;6;39;2;5;0;0;0;0;1;5;0;0;27;1;64
Willian;Palmeiras;Atacante;10.52;3.91;22.6;3.96;16;13;5;2;0;22;7;6;1;0;0;0;0;4;1;0;24;5;27
Willian Arão;Flamengo;Meia;10.74;1.5;12;3.98;16;33;1;2;0;14;1;3;1;0;0;0;0;1;0;0;18;1;44
Wilson;Coritiba;Goleiro;14.88;0.79;10.5;5.07;22;0;0;0;7;5;0;0;0;43;1;0;0;2;0;27;0;0;13
Zé Ivaldo;Atlético-PR;Zagueiro;1.97;-1.24;1.8;2.86;5;7;0;0;2;0;0;1;0;0;0;0;0;2;0;0;5;0;7
Zé Rafael;Bahia;Meia;20.43;1.42;9.1;6.08;21;53;1;4;0;65;11;17;0;0;0;0;0;4;0;0;46;6;45
Zé Ricardo;Vasco;Técnico;11.73;0;0;4.12;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zeca;Santos;Lateral;10.61;-0.72;3.7;4.57;7;5;0;0;4;6;3;2;1;0;0;0;0;0;0;0;4;0;17
