nome;clube;posicao;preco;variacao;ult_ponto;media;jogo;roubada_bola;gol;assistencia;jogo_sem_sofrer_gol;finalizacao_fora;finalizacao_fora;finalizacao_defendida;finalizacao_trave;defesa_dificil;defesa_penalti;gol_contra;cartao_vermelho;cartao_amarelo;penalti_perdido;gol_sofrido;falta_cometida;impedimento;passe_errado
Aranha;Ponte Preta;Goleiro;11.39;0.41;-1.3;4.14;21;1;0;0;9;3;0;0;0;33;0;0;0;2;0;27;0;0;8
Arnaldo;Botafogo;Lateral;9.72;0.38;6.1;4.88;16;34;0;1;6;26;0;2;0;0;0;0;0;2;0;0;24;0;46
Arthur;Grêmio;Meia;8.85;0;0;4.29;16;38;1;0;0;33;0;1;0;0;0;0;0;3;0;0;11;0;33
Arthur;Chapecoense;Atacante;10.08;-0.4;-3.7;4.75;20;18;4;5;0;45;16;13;1;0;0;0;0;4;0;0;36;5;47
Berrío;Flamengo;Atacante;3.86;-0.3;0.7;0.89;13;5;2;0;0;8;1;2;0;0;0;0;0;2;0;0;14;1;27
Betão;Avaí;Zagueiro;7.32;0.04;4.1;2.58;20;14;0;0;10;18;1;1;0;0;0;0;0;6;0;0;15;0;44
Bremer;Atlético-MG;Zagueiro;1.2;-0.12;-0.3;-0.06;9;8;0;0;1;6;0;2;0;0;0;0;0;4;0;0;25;0;12
Breno;Vasco;Zagueiro;4.22;1.23;6.7;1.43;15;7;0;0;5;9;3;1;0;0;0;0;0;4;0;0;13;0;28
Bressan;Grêmio;Zagueiro;2.76;0;0;1.93;6;4;0;0;3;5;1;0;0;0;0;0;0;2;0;0;7;1;18
Bruno Cortez;Grêmio;Lateral;10.95;0;0;3.8;16;21;1;0;8;12;0;0;0;0;0;0;0;3;0;0;24;2;33
Bruno Henrique;Palmeiras;Meia;9.48;-0.77;-0.2;4.08;9;18;1;1;0;10;7;1;0;0;0;0;0;2;0;0;19;0;14
Bruno Henrique;Santos;Atacante;14.07;2.26;10;5.01;17;15;5;6;0;47;8;9;1;0;0;0;1;3;0;0;43;5;56
Bruno Pacheco;Atlético-GO;Lateral;9.38;1.85;9.9;3.12;20;21;0;4;3;47;3;2;0;0;0;0;0;4;0;0;28;0;46
